id,region_id,title
1,1,Ленинский район
2,1,Октябрьский район
3,1,Первомайский район
4,1,Свердловский район
5,2,г. Ош
6,3,Баткенский район
7,3,Кадамжайский район
8,3,Лейлекский район
9,3,г. Баткен
10,3,г. Кызыл-Кыя
11,3,г. Сулюкта
12,4,Аксыйский район
13,4,Ала-Букинский район
14,4,Базар-Коргонский район
15,4,Ноокенский район
16,4,Сузакский район
17,4,Тогуз-Тороуский район
18,4,Токтогульский район
19,4,Чаткальский район
20,4,г. Джалал-Абад
21,4,г. Кара-Куль
22,4,г. Кок-Джангак
23,4,г. Майлуу-Суу
24,4,г. Таш-Кумыр
25,5,Аксуйский район
26,5,Джети-Огузский район
27,5,Иссык-Кульский район
28,5,Тонский район
29,5,Тюпский район
30,5,г. Каракол
31,5,г. Балыкчи
32,6,Ак-Талинский район
33,6,Ат-Башинский район
34,6,Жумгальский район
35,6,Кочкорский район
36,6,Нарынский район
37,6,г. Нарын
38,7,Алайский район
39,7,Араванский район
40,7,Кара-Кульджинский район
41,7,Кара-Суйский район
42,7,Ноокатский район
43,7,Узгенский район
44,7,Чон-Алайский район
45,8,Бакай-Атинский район
46,8,Кара-Бууринский район
47,8,Манасский район
48,8,Таласский район
49,8,г. Талас
50,9,Аламудунский район
51,9,Жайыльский район
52,9,Иссык-Атинский район
53,9,Кеминский район
54,9,Московский район
55,9,Панфиловский район
56,9,Сокулукский район
57,9,Чуйский район
58,9,г. Токмак
